FileName,BaseNumber,SectionNum,RqmtNum,Title,LaTeX_Label,Details,NumStatuses,Status,Acceptance,Traceability,Notes
sections/3.01.StatesAndModes/Light/Light-States.tex,\RqtNumberBase.1,3.2,3.2.1,Single Mode Broadcast,rqt:LightSingleMode,"The system shall be capable of Single Mode Broadcast.",1, Threshold,"This requirement shall be verified by demonstration.","\item [5.5.3] Section in CDD for BDP FoS~\cite{ref__BDP_FOS_CDD}.","\item The Single Mode Broadcast state describes the system capability of broadcasting in a single mode. This includes multi-channel, multi-frequency, and multi-band broadcasts with the same messaging."
sections/3.01.StatesAndModes/Light/Light-Modes_Radio.tex,\RqtNumberBase.1,3.2,3.2.1,Mode Radio Broadcast,rqt:LightModeRadioBroadcast,"The BDP-Light system shall provide the Radio Broadcast Mode in the states and sub-states as shown in Table~\ref{tab:Light-StatesAndModes}.",1, Threshold,"This requirement shall be verified by demonstration.","\item [3.2.3] Section in CDD for BDP FoS~\cite{ref__BDP_FOS_CDD}. \item [5.1.1] Section in CDD for BDP FoS~\cite{ref__BDP_FOS_CDD}. \item [5.5.3] Section in CDD for BDP FoS~\cite{ref__BDP_FOS_CDD}.","\item The Radio Broadcast Mode describes the case where the system broadcasts analog radio. 	\item Only the sub-mode of FM shall be provided."
sections/3.01.StatesAndModes/Light/Light-Modes_Cell.tex,\RqtNumberBase.1,3.2,3.2.1,Mode Cellular Dissemination,rqt:LightModeCell,"The BDP-Light system shall provide the Cellular Dissemination Mode in the states and sub-states as shown in Table~\ref{tab:Light-StatesAndModes}.",1, Threshold,"This requirement shall be verified by demonstration.","\item [3.2.3] Section in CDD for BDP FoS~\cite{ref__BDP_FOS_CDD}. \item [5.1.3] Section in CDD for BDP FoS~\cite{ref__BDP_FOS_CDD}. \item [5.5.3] Section in CDD for BDP FoS~\cite{ref__BDP_FOS_CDD}. \item [5.5.4] Section in CDD for BDP FoS~\cite{ref__BDP_FOS_CDD}.","\item The Cellular Dissemination Mode generalizes the case where the system disseminates cellular messages. 	\item Only the sub-mode of SMS shall be provided."
sections/3.01.StatesAndModes/Light/Light-SubModes-Radio.tex,\RqtNumberBase.1,3.2,3.2.1,Sub-Mode FM Radio Broadcast,rqt:LightFMRadio,"The BDP-Light system shall provide the FM Radio Broadcast Sub-Mode.",1, Threshold,"This requirement shall be verified by demonstration.","\item [3.2.3] Section in CDD for BDP FoS~\cite{ref__BDP_FOS_CDD}. \item [5.1.1] Section in CDD for BDP FoS~\cite{ref__BDP_FOS_CDD}. \item [5.5.3] Section in CDD for BDP FoS~\cite{ref__BDP_FOS_CDD}. \item [5.5.4] Section in CDD for BDP FoS~\cite{ref__BDP_FOS_CDD}.","\item The FM Radio Broadcast Sub-Mode generalizes the case where the system is broadcasting in the FM radio spectrum."
sections/3.01.StatesAndModes/Light/Light-SubModes-Radio.tex,\RqtNumberBase.2,3.2,3.2.2,Sub-Mode FM Radio Broadcast With \RDS/RBDS,rqt:LightFMRadioRDS,"The BDP-Light system shall provide the FM Radio Broadcast with \RDS/RBDS Sub-channel Sub-Mode.",1, Threshold,"This requirement shall be verified by demonstration.","\item [3.2.3] Section in CDD for BDP FoS~\cite{ref__BDP_FOS_CDD}. \item [5.1.1] Section in CDD for BDP FoS~\cite{ref__BDP_FOS_CDD}. \item [5.1.4] Section in CDD for BDP FoS~\cite{ref__BDP_FOS_CDD}. \item [5.5.3] Section in CDD for BDP FoS~\cite{ref__BDP_FOS_CDD}. \item [5.5.4] Section in CDD for BDP FoS~\cite{ref__BDP_FOS_CDD}.","\item The FM Broadcast with RDS/RBDS Subchannel Sub-Mode functions identically to the FM Radio Broadcast Sub-Mode with the addition of a transmitted RDS/RBDS subchannel."
sections/3.01.StatesAndModes/Light/Light-SubModes-Cell.tex,\RqtNumberBase.1,3.2,3.2.1,Sub-Mode SMS Messaging,rqt:LightSMS,"The BDP-Light system shall provide the SMS Messaging Dissemination Sub-Mode.",1, Threshold,"This requirement shall be verified by demonstration.","\item [3.2.3] Section in CDD for BDP FoS~\cite{ref__BDP_FOS_CDD}. \item [5.1.3] Section in CDD for BDP FoS~\cite{ref__BDP_FOS_CDD}. \item [5.5.3] Section in CDD for BDP FoS~\cite{ref__BDP_FOS_CDD}. \item [5.5.4] Section in CDD for BDP FoS~\cite{ref__BDP_FOS_CDD}.","\item The SMS Messaging Dissemination Sub-Mode generalizes the case where the system disseminates SMS messages."
sections/3.01.StatesAndModes/Medium/Medium-States.tex,\RqtNumberBase.1,3.3,3.3.1,Single Mode Broadcast,rqt:MediumSingleMode,"The BDP-Medium system shall be capable of Single Mode Broadcast.",1, Threshold,"This requirement shall be verified by demonstration.","\item [5.5.3] Section in CDD for BDP FoS~\cite{ref__BDP_FOS_CDD}.","\item The Single Mode Broadcast state describes the system capability of broadcasting in a single mode. This includes multi-channel, multi-frequency, and multi-band broadcasts with the same messaging."
sections/3.01.StatesAndModes/Medium/Medium-States.tex,\RqtNumberBase.2,3.3,3.3.2,Multi-Mode Broadcast,rqt:MediumMultiMode,"The BDP-Medium system shall be capable of Multi-Mode Broadcast.",1, Threshold,"This requirement shall be verified by demonstration.","\item [3.2.2] Section in CDD for BDP FoS~\cite{ref__BDP_FOS_CDD}. \item [5.5.4] Section in CDD for BDP FoS~\cite{ref__BDP_FOS_CDD}.","\item The Multi-Mode Broadcast state describes the system capability of broadcasting simultaneously across all applicable modes."
sections/3.01.StatesAndModes/Medium/Medium-SubStates.tex,\RqtNumberBase.1,3.3,3.3.1,Sub-State FM Radio and SMS Dissemination,rqt:MediumSubStateFMAndSMS,"The BDP-Medium system shall be capable of simultaneously broadcasting both FM radio signals and SMS dissemination.",1, Threshold,"This requirement shall be verified by demonstration.","\item [5.5.4] Section in CDD for BDP FoS~\cite{ref__BDP_FOS_CDD}.","\item N/A."
sections/3.01.StatesAndModes/Medium/Medium-SubStates.tex,\RqtNumberBase.2,3.3,3.3.2,Sub-State FM and AM Radio Broadcast,rqt:MediumSubStateFMAndAM,"The BDP-Medium system shall be capable of simultaneously broadcasting both FM and AM radio signals.",1, Threshold,"This requirement shall be verified by demonstration.","\item [5.5.4] Section in CDD for BDP FoS~\cite{ref__BDP_FOS_CDD}.","\item N/A"
sections/3.01.StatesAndModes/Medium/Medium-SubStates.tex,\RqtNumberBase.3,3.3,3.3.3,Sub-State FM Radio and TV Broadcast,rqt:MediumSubStateFMAndTV,"The BDP-Medium system shall be capable of simultaneously broadcasting FM radio and TV signals.",1, Threshold,"This requirement shall be verified by demonstration.","\item [5.5.4] Section in CDD for BDP FoS~\cite{ref__BDP_FOS_CDD}.","\item The TV broadcast includes analog and/or digital TV channels."
sections/3.01.StatesAndModes/Medium/Medium-SubStates.tex,\RqtNumberBase.4,3.3,3.3.4,Sub-State FM and SW Radio Broadcast,rqt:MediumSubStateFMAndSW,"The BDP-Medium system shall be capable of simultaneously broadcasting FM and SW radio signals.",1, Threshold,"This requirement shall be verified by demonstration.","\item [5.5.4] Section in CDD for BDP FoS~\cite{ref__BDP_FOS_CDD}.","\item N/A"
sections/3.01.StatesAndModes/Medium/Medium-Modes_Radio.tex,\RqtNumberBase.1,3.3,3.3.1,Mode Radio Broadcast,rqt:MediumModeRadioBroadcast,"The BDP-Medium system shall provide the Radio Broadcast Mode in the states and sub-states as shown in Table~\ref{tab:Medium-StatesAndModes}.",1, Threshold,"This requirement shall be verified by demonstration.","\item [3.2.2] Section in CDD for BDP FoS~\cite{ref__BDP_FOS_CDD}. \item [5.1.1] Section in CDD for BDP FoS~\cite{ref__BDP_FOS_CDD}. \item [5.1.4] Section in CDD for BDP FoS~\cite{ref__BDP_FOS_CDD}. \item [5.5.3] Section in CDD for BDP FoS~\cite{ref__BDP_FOS_CDD}. \item [5.5.4] Section in CDD for BDP FoS~\cite{ref__BDP_FOS_CDD}.","\item The Radio Broadcast Mode describes the case where the system broadcasts analog radio.  	\item Sub-modes of AM, SW, and FM broadcast shall be provided. 	\item All forms of radio broadcast shall include static RDS/RBDS text."
